0,0,0,1,2,2,4,5,15,15,13,15,17,24,38,35,38,68,93,91,140,166,165,202,246,304,352,355,495,455,507,553,539,530,513,469,413,375,308,284,244,197,182,140,130,90,77,58,50,37,41,30,27,15,18,14,10,14,6,12,6,6,10,4,2,4,0,4,3,1,1,0,1,0,2,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,2,2,8,7,5,9,13,14,14,30,31,42,46,60,67,71,118,123,132,197,238,304,325,390,460,497,501,583,507,549,471,482,399,370,312,272,220,199,166,153,111,99,80,64,74,59,39,45,36,36,22,20,16,22,7,21,5,6,6,6,6,4,3,2,0,3,3,2,1,2,1,0,2,0,1,0,1,0,0,0,1,1,0,2,1,0,1,0,1,2
1,0,0,0,0,1,1,2,1,2,4,6,9,9,18,19,29,39,40,70,87,101,122,160,195,276,261,285,357,426,458,470,583,542,515,494,484,442,397,361,298,276,237,177,166,125,111,95,86,78,64,51,38,39,36,22,23,14,11,10,10,4,2,6,5,1,2,3,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,3,1,4,3,5,5,6,5,9,12,12,17,16,26,27,47,53,56,86,115,114,157,154,219,245,258,346,375,417,508,538,521,560,505,473,467,412,386,344,264,235,219,169,106,126,106,65,70,63,64,47,44,28,30,25,28,21,14,13,7,9,8,9,8,7,3,4,1,2,4,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,2,2,4,5,5,8,11,13,14,26,31,34,48,54,70,87,137,167,177,213,260,311,364,405,445,512,495,515,546,568,527,500,453,354,318,289,214,172,169,144,120,104,71,61,41,43,47,23,24,30,24,17,13,10,12,10,5,9,5,3,7,3,2,2,1,2,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,3,6,2,8,12,8,11,34,30,31,40,50,62,72,99,120,144,163,233,263,282,363,377,463,457,484,508,501,523,482,471,396,370,316,267,260,232,180,145,110,94,92,60,63,54,46,42,25,24,27,20,13,14,8,6,12,14,8,7,4,7,2,2,0,4,0,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,0,2,1,8,12,8,3,22,14,22,30,38,53,59,78,94,98,141,152,179,229,277,328,418,467,491,510,543,540,517,472,486,448,407,352,314,255,212,187,161,114,102,74,48,59,40,27,19,27,16,21,12,13,15,9,9,10,3,2,2,3,2,1,2,1,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,1,2,5,3,4,2,3,8,10,12,9,11,15,23,36,35,47,57,67,75,117,125,171,181,236,310,323,401,448,491,475,578,525,497,525,450,451,356,327,300,239,212,143,146,117,86,90,80,65,56,47,31,22,22,24,19,25,12,10,12,8,8,4,3,10,0,4,1,2,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,2,1,5,0,4,3,4,9,5,13,17,19,22,32,38,61,51,65,91,99,142,162,217,253,280,336,381,418,451,519,502,572,495,481,492,461,424,332,267,248,219,171,148,112,97,96,66,59,44,44,25,21,23,23,12,15,12,11,12,12,7,4,3,4,5,3,3,3,2,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,3,4,3,3,0,5,2,5,5,8,10,12,12,12,11,17,21,29,29,35,51,73,81,91,136,149,179,202,235,293,366,381,401,443,459,478,479,539,499,456,437,399,337,270,252,204,182,161,116,107,101,68,40,41,37,36,32,24,15,22,11,11,8,2,9,6,7,6,4,4,4,3,5,3,4,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,1,2,1,1,3,2,5,4,11,15,8,18,18,16,17,18,35,64,51,77,105,127,127,160,228,225,265,305,346,404,460,488,541,556,498,518,480,415,390,350,313,256,200,167,149,130,106,84,77,72,50,45,50,38,24,20,27,11,18,11,5,12,4,9,2,6,4,7,3,2,2,2,2,1,0,0,0,2,1,0,2,0,2,0,0,0,1,0,2,0,1,0,0,0,0
2,1,0,2,2,2,0,1,3,2,7,4,7,14,22,18,17,21,36,49,61,91,109,146,181,186,193,259,351,381,423,464,507,527,512,546,544,490,415,404,324,307,270,210,171,163,113,127,79,82,59,67,54,48,30,31,21,18,15,12,11,5,6,3,3,3,2,3,2,5,4,7,1,2,1,0,3,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,1,3,6,6,7,7,11,23,21,25,25,51,63,81,97,125,158,186,218,242,310,335,407,468,494,505,539,520,543,504,459,432,366,316,288,200,187,180,143,122,99,68,72,70,38,54,29,23,21,23,20,13,11,11,9,9,10,6,6,6,7,2,2,2,2,1,2,1,0,1,0,1,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,4,1,3,5,4,6,8,13,17,12,22,31,43,53,60,90,110,145,146,204,217,265,299,341,421,422,431,495,502,539,513,532,426,415,395,332,295,252,195,174,143,101,97,78,68,66,59,39,33,19,17,22,14,20,11,9,10,8,8,11,7,7,4,6,4,3,4,1,1,2,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,3,7,8,11,22,22,24,29,55,59,90,100,132,145,222,256,313,356,445,499,479,577,551,539,526,508,452,422,404,316,264,240,183,138,150,122,108,68,55,50,60,37,39,31,26,32,14,13,19,5,12,15,6,3,10,6,1,2,8,5,3,3,2,1,0,2,0,2,1,2,0,3,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,1,9,8,10,10,16,15,17,23,32,41,47,55,60,98,114,138,169,200,266,308,325,360,418,449,505,530,507,526,526,509,461,428,343,298,245,207,168,153,132,111,83,59,44,55,36,35,17,25,26,11,14,10,17,11,3,6,1,4,2,3,2,1,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,3,3,4,7,3,7,10,14,12,18,19,29,28,38,41,74,89,110,149,196,235,262,307,362,410,440,486,528,560,573,558,467,442,407,349,324,256,238,166,149,118,139,108,86,62,61,45,44,34,18,19,25,24,12,12,9,7,10,8,8,4,0,0,3,0,2,2,5,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,5,4,3,1,10,5,17,16,20,30,41,44,65,69,113,110,125,158,206,228,279,294,345,404,454,504,537,557,518,522,451,467,415,365,302,271,229,167,166,120,105,86,98,67,56,46,34,28,29,13,13,20,9,13,5,11,10,5,2,3,4,5,2,2,1,0,0,1,1,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,2,6,3,2,4,5,3,15,8,19,18,14,19,33,45,61,82,87,126,159,195,201,272,342,379,463,468,492,499,523,552,528,480,442,435,352,290,271,234,177,139,120,112,92,64,59,56,44,36,38,26,26,19,19,14,13,6,6,6,5,6,2,5,0,1,4,3,1,3,1,1,0,0,2,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,3,5,2,5,1,6,6,13,17,15,19,33,36,34,60,77,94,138,158,192,235,270,300,385,425,457,507,564,593,543,548,475,472,427,326,279,230,229,189,138,125,101,75,83,56,41,49,27,34,17,11,18,17,12,9,10,10,9,4,6,13,6,4,4,2,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
0,1,1,1,2,1,2,4,3,0,1,3,4,6,6,11,10,12,11,8,20,29,45,50,48,46,101,82,134,160,185,224,241,310,326,428,404,494,472,534,584,552,462,482,419,356,338,261,208,182,145,145,105,101,74,61,50,45,49,40,27,24,16,17,15,19,13,4,6,13,9,6,5,1,2,2,4,1,1,1,1,2,0,1,0,1,2,0,1,0,2,0,0,0,0,0,0,0,1,0
1,0,1,2,0,0,6,7,2,4,11,10,10,10,21,32,33,31,43,40,55,77,64,100,127,134,159,195,192,276,314,365,396,424,463,440,489,568,503,460,416,437,363,339,289,226,191,155,154,113,101,82,69,54,45,37,36,28,23,17,22,9,18,9,5,10,6,2,4,3,1,1,1,1,1,0,0,1,3,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,1,6,4,5,11,12,9,14,17,12,15,38,32,49,46,63,74,103,117,156,212,210,268,295,356,391,493,487,581,594,591,510,500,471,384,384,288,238,237,164,161,135,98,82,63,51,43,31,33,23,20,11,11,15,13,6,10,5,6,7,7,3,5,2,3,0,0,3,0,1,1,3,1,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
